"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-22",,"85","96","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-23",,"85","97","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-24",,"86","97","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-25",,"87","96","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-26",,"87",,"71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-27",,"83","96","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-28",,"82","95","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-29",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-30",,"83","94","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-10-31",,"83","96","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-01",,"85","98","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-02",,"85","98","74"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-03",,"81","98","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-04",,"80","96","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-05",,"81","96","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-06",,"83","94","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-07",,"84","95","72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-08",,"83","96","71"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-09",,"84","96","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-10",,"82","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-11",,"83","92","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-12",,"82","92","70"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-13",,"81","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-14",,"81","95","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-15",,"82",,"67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-16",,"83",,"72"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-17",,"84",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-18",,"84","96","75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-19",,"86",,"75"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-20",,"87",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-21",,"85",,
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-22",,"83",,"69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-23",,"83","94","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-24",,"83","94",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-25",,"81","94","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-26",,"79","92","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-27",,"78","92","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-28",,"78","92","68"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-29",,"82","93","69"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-11-30",,"78","92",
"IN012070800","BOMBAY SANTACRUZ, IN","2001-12-01",,"77","92","67"
"IN012070800","BOMBAY SANTACRUZ, IN","2001-12-02",,"79","95","66"
